TIME 24 HOURS,COUNTY,PLACE,Date DD/MM/YYYY,NORMALIZED_ROAD,TEXT_CLEAN,FINAL_VEHICLE,ACCIDENT_TYPE_PRED,TIMEOFDAY,ROAD CODE
05:00,BUNGOMA,SIKATA,2016-06-02,BUNGOMA WEBUYE,HIT AND RUN,BUS,HIT AND RUN,MORNING,OTHER
04:00,MURANG'A,KARIGIA,2016-06-02,KENOL MURANG'A,THE CAR LOST CONTROL AND ROLLED SEVERAL TIMES,CAR,DRIVER FAULT,NIGHT,OTHER
19:30,UASIN GISHU,CHEBII,2016-06-02,NAKURU ELDORET,HEAD ON COLLISION,TRUCK,HEAD ON,EVENING,A104
23:00,NAKURU,STATE HOUSE,2016-06-02,NAKURU NAIROBI,HIT AND RUN,CAR,HIT AND RUN,NIGHT,A104
23:40,KAJIADO,MAILI,2016-06-02,KAJIADO MURRAM,THE PERSON WAS RAN OVER BY THE CAR,CAR,UNKNOWN,NIGHT,OTHER
11:00,KIAMBU,ACRE TANO,2016-06-01,NAIVASHA NAIROBI,THE BICYCLE KNOCKED DOWN THE VITIM WHILE CROSSING THE ROAD,BICYCLE,VICTIM FAULT,MORNING,A104
07:25,KAJIADO,KITENGELA TOWN,2016-06-01,KITENGELA ISINYA,THE CAR RAMMED INTO THE TRI BICYCLE AND RAMMED INTO THE KAZ,CAR,UNKNOWN,MORNING,A104
13:45,NAIROBI,NEAR ASSEMBLEYS OF GOD CHURCH,2016-06-01,NAIROBI MOMBASA,THE CAR KNOCKED DOWN THE PERSON,CAR,UNKNOWN,AFTERNOON,A109
14:00,NAIROBI,NEAR RAILWAYS ROUND ABOUT,2016-06-01,HAILE SELASIE,THE PERSON ALIGHTED WHILE THE CAR WAS IN MOTION,CAR,UNKNOWN,AFTERNOON,OTHER
15:40,MAKUENI,KINSINGO AREA,2016-06-01,WOTE MAKINDU,ONE OF THE BICYCLE LOST CONTROL AND RAMMED INTO THE OTHER BICYCLE,BICYCLE,DRIVER FAULT,AFTERNOON,OTHER
20:30,NAIROBI,FEDHA ESTATE,2016-06-01,ROAD OUTERING,HIT AND RUN,TRUCK,HIT AND RUN,EVENING,OTHER
20:20,MWINGI,NDALANI BRIDGE,2016-06-01,MWINGI GARISSA,HEAD ON COLLISION,CAR,HEAD ON,EVENING,A3
20:20,MWINGI,NDALANI BRIDGE,2016-06-01,MWINGI GARISSA,HEAD ON COLLISION,MOTORCYCLE,HEAD ON,EVENING,A3
08:15,BOMET,MULOT,2016-04-30,NAROK BOMET,HEAD ON COLLISION,CAR,HEAD ON,MORNING,OTHER
,TAITA TAVETA,CKAHARELI,2016-04-30,VOI MWATATE,HEAD ON COLLISION,BUS,HEAD ON,NIGHT,OTHER
,TAITA TAVETA,CKAHARELI,2016-04-30,VOI MWATATE,HEAD ON COLLISION,CAR,HEAD ON,NIGHT,OTHER
13:30,KISII,KEROKA TOWNSHIP,2016-04-30,TOWNSHIP KEROKA,THE CAR KNOCKED DOWN THE PERSON,CAR,DRIVER FAULT,AFTERNOON,OTHER
18:20,BUSIA,RAKITE BRIDGE,2016-04-30,KISUMU BUSIA,HEAD ON COLLISION,BUS,HEAD ON,EVENING,A104
19:45,KILIFI,MAGOMBENI,2016-04-30,MALINDI MALANGA,THE CAR LOST CONTROL AND ROLLED SEVERAL TIMES,CAR,DRIVER FAULT,EVENING,OTHER
20:45,NAKURU,JAKARANDA,2016-04-30,NAKURU GILGIL,HIT AND RUN,BUS,HIT AND RUN,EVENING,OTHER
22:30,NAIROBI,KWA POWER,2016-04-30,KANGUNDO,THE CAR KNOCKED DOWN THE PERSON,CAR,VICTIM FAULT,NIGHT,OTHER
23:30,NAIROBI,NAIROBI WATER,2016-04-30,MURANGA,HIT AND RUN,CAR,HIT AND RUN,NIGHT,A2
23:00,NAIROBI,NAIROBI SCHOOL,2016-04-30,WAIYAKI,THE CAR LOST CONTROL AND ROLLED SEVERALLY,CAR,DRIVER FAULT,NIGHT,OTHER
03:55,NAIROBI,FAW,2016-04-30,NAIROBI MOMBASA,HIT AND RUN,TRAILER,HIT AND RUN,NIGHT,A109
06:10,MOMBASA,JOMVU AREA,2016-04-29,MAINLAND JOMVU,THE BICYCLE HIT THE TRAILER FROM THE REAR,BICYCLE,DRIVER FAULT,MORNING,OTHER
08:15,KILIFI,EZAMOYO AREA,2016-04-29,VITENGENI KILIFI,THE KMDG 044E RAMMED INTO THE CAR AND THEN THE KMDH 025K BOXER,CAR,UNKNOWN,MORNING,OTHER
,MAKUENI,KAMBU AREA,2016-04-29,MUSYINI KYULU MURRAM,HIT AND RUN,MATATU,HIT AND RUN,NIGHT,OTHER
16:00,MACHAKOS,BUS STAGE,2016-04-29,WITHIN MACHAKOS TOWN,THE CAR KNOCKED DOWN THE PERSON,CAR,VICTIM FAULT,AFTERNOON,OTHER
19:00,NYAMIRA,KISAURI AREA,2016-04-29,SOTIK KEROKA,THE BICYCLE HIT THE CAR,BICYCLE,DRIVER FAULT,EVENING,OTHER
20:40,KIAMBU,GICHIEGO JUNCTION,2016-04-29,NAIVASHA KIJABE,HIT AND RUN,MOTORCYCLE,HIT AND RUN,EVENING,OTHER
20:30,NAIROBI,NEAR STATE HOUSE,2016-04-29,ROAD PROFESSIONAL,THE CAR RAMMED INTO THE REAR,CAR,UNKNOWN,EVENING,OTHER
21:00,KISII,MASHAURI AREA,2016-04-29,KISII KILGORIS,THE CAR VEERED OFF THE ROAD AND KNOCKED DOWN THE PERSON,CAR,UNKNOWN,NIGHT,OTHER
19:20,EMBU,MUTUVALI JUNCTION,2016-04-29,KIAMBERE BOLRIT,THE BICYCLE KNOCKED DOWN THE CAR,BICYCLE,UNKNOWN,EVENING,OTHER
17:20,NAIROBI,TRANSAMI AREA,2016-04-29,NORTH AIRPORT,THE CAR KNOCKED DOWN THE PERSON,CAR,DRIVER FAULT,EVENING,OTHER
20:30,NAIROBI,MUTHAIGA UNDER PASS,2016-04-29,THIKA SUPERHIGHWAY,THE CAR KNOCKED DOWN THE PERSON,CAR,DRIVER FAULT,EVENING,A2
02:00,KIAMBU,MAGUNGUNI AREA,2016-04-29,THIKA GARISSA,HEAD ON COLLISION,MATATU,HEAD ON,NIGHT,A3
09:45,LAIKIPIA,EQUATOR,2016-04-26,NYERI NANYUKI,THE CAR RAMMED INTO THE STATIONARY CAR,CAR,UNKNOWN,MORNING,A2
10:30,KERICHO,DUKA MOJA,2016-04-26,NAKURU KERICHO,THE BICYCLE WAS HIT BY THE TRUCK,TRUCK,DRIVER FAULT,MORNING,OTHER
12:10,HOMA BAY,TAUSI,2016-04-26,RODI KOPANY RANGWE,THE CAR KNOCKED DOWN THE PERSON WHILE CROSSING THE ROAD,CAR,VICTIM FAULT,AFTERNOON,OTHER
11:00,KAKAMEGA,PATH ROUTE,2016-04-26,PANYA MATUNGU,THE PERSON WAS ON TOP OF A TREE WHEN HE FELL DOWN ONTO THE TRUCK,TRUCK,UNKNOWN,MORNING,OTHER
14:30,MAKUENI,MIGINGO AREA,2016-04-26,NAIROBI MOMBASA,THE BICYCLE LOST CONTROL AND ROLLED SEVERALL TIMES,BICYCLE,DRIVER FAULT,AFTERNOON,A109
12:30,EMBU,MUNGANIA,2016-04-26,KIANGOKOMA TRADING CENTRE,THE BICYCLE KNOCKED DOWN THE PERSON WHILE CROSSING THE ROAD,BICYCLE,VICTIM FAULT,AFTERNOON,OTHER
08:00,NAIROBI,CABANAS,2016-04-26,NAIROBI MOMBASA,THE TRUCK KNOCKED DOWN THE MOTORCYCLE,TRUCK,UNKNOWN,MORNING,A109
21:00,BARINGO,SESYA TRADING CENTRE,2016-04-26,MARIGAT KABARNET,THE CAR LOST CONTROL WHILE NEGOTIATING A SHARP CORNER AND LANDED INTO A DITCH,CAR,DRIVER FAULT,NIGHT,OTHER
23:15,BOMET,LONGISA SECONDARY SCHOOL,2016-04-26,SOTIK BOMET,"THE CAR LOST CONTROL,VEERED OFF THE ROAD AND LANDED INTO A DITCH",CAR,MECHANICAL FAULT,NIGHT,OTHER
22:00,KISII,NYAMATARO,2016-04-26,KISUMU KISII,THE CAR KNOCKED DOWN THE PERSON,CAR,VICTIM FAULT,NIGHT,OTHER
16:30,KIAMBU,KINOO,2016-04-26,NAIROBI KIKUYU,THE CAR KNOCKED DOWN THE PERSON WHILE CROSSING THE ROAD,CAR,VICTIM FAULT,AFTERNOON,OTHER
07:00,MAKUENI,MLIMA KIU AREA,2016-04-24,NAIROBI MOMBASA,HEAD ON COLLISION,BUS,HEAD ON,MORNING,A109
13:00,BARINGO,KAPTANA,2016-04-24,ELDAMA RAVINE SAOS,THE CAR HIT THE MOTORCYCLE,CAR,DRIVER FAULT,AFTERNOON,OTHER
20:50,KAJIADO,KENCHICK AREA,2016-04-24,KAJIADO ISINYA,HEAD ON COLLISION,MOTORCYCLE,HEAD ON,EVENING,A104
15:00,HOMA BAY,KIDI AREA,2016-04-24,OYUGIS KISII,THE CAR LOST CONTROL VEERED OFF THE ROAD AND KNOCKED DOWN THE PERSON,CAR,UNKNOWN,AFTERNOON,OTHER
22:45,KAJIADO,SISA PUB,2016-04-24,NAIROBI MAGADI,THE CAR KNOCKED DOWN THE PERSON WHILE CROSSING THE ROAD,CAR,VICTIM FAULT,NIGHT,OTHER
12:45,MAKUENI,MAKINDU TOWNSHIP,2016-04-23,NAIROBI MOMBASA,THE CAR KNOCKED DOWN THE PERSON WHILE CROSSING THE ROAD,CAR,VICTIM FAULT,AFTERNOON,A109
17:50,KAKAMEGA,MSALABA,2016-04-23,WEBUYE KAKAMEGA,THE BICYCLE RAMMED INTO THE MATATU,BICYCLE,UNKNOWN,EVENING,A1
17:50,KAKAMEGA,MSALABA,2016-04-23,WEBUYE KAKAMEGA,THE BICYCLE RAMMED INTO THE MATATU,BICYCLE,UNKNOWN,EVENING,A1
20:50,KIAMBU,ROLEX AREA,2016-04-23,NORTHERN BY PASS,THE CAR KNOCKED DOWN THE PERSON WHILE CROSSING THE ROAD,CAR,VICTIM FAULT,EVENING,A104N
14:30,KISUMU,OFFISENGENY AREA,2016-04-23,CHEMILIL AWASI,"THE CAR GOT A TYRE BURST,VEERED OFF THE ROAD AND ROLLED",CAR,MECHANICAL FAULT,AFTERNOON,OTHER
21:00,NAKURU,KAROGA AREA,2016-04-23,OLKALAU GILGIL,THE BICYCLE LOST CONTROL AND LANDED INTO A DITCH,BICYCLE,DRIVER FAULT,NIGHT,OTHER
20:00,ELGEYO MARAKWET,CHIRCHIR AREA,2016-04-23,NYARU ELDORET,THE CAR RAMMED INTO THE REAR OF THE TRACTOR,CAR,DRIVER FAULT,EVENING,OTHER
20:30,MERU,KANYABITHA AREA,2016-04-23,MIKINDURI MERU,HEAD ON COLLISION,CAR,HEAD ON,EVENING,OTHER
20:30,MERU,KANYABITHA AREA,2016-04-23,MIKINDURI MERU,HEAD ON COLLISION,CAR,HEAD ON,EVENING,OTHER
23:15,MWINGI,EAST VIEW AREA,2016-04-23,MWINGI GARISSA,HEAD ON COLLISION,CAR,HEAD ON,NIGHT,A3
06:15,NAIROBI,DRIVE INN AREA,2016-04-22,THIKA SUPERHIGHWAY,THE CAR KNOCKED DOWN THE PERSON WHILE CROSSING THE ROAD,CAR,VICTIM FAULT,MORNING,A2
12:30,MAKURU,BAHATI JUNCTION,2016-04-22,NAKURU NAIROBI,THE CAR KNOCKED DOWN THE PERSON WHILE CROSSING THE ROAD,CAR,VICTIM FAULT,AFTERNOON,A104
19:30,KISII,GESUSU AREA,2016-04-22,NYANGUSU KEROKA,THE CAR WAS TRYING TO OVERTAKE WHEN IT WAS HIT BY THE TOWNACE,CAR,DRIVER FAULT,EVENING,OTHER
19:30,KISII,GESUSU AREA,2016-04-22,NYANGUSU KEROKA,THE CAR WAS TRYING TO OVERTAKE WHEN IT WAS HIT BY THE TOWNACE,CAR,DRIVER FAULT,EVENING,OTHER
20:30,KIAMBU,NEAR KIKUYU FLY OVER,2016-04-22,SOUTHERN BY PASS,THE CAR LOST CONTROL VEERED OFF THE ROAD AND KNOCKED DOWN THE PERSON,CAR,DRIVER FAULT,EVENING,A104S
20:35,NYERI,NEAR HONI RIVER,2016-04-22,NYERI NYAHURURU,THE MATATU RAMMED INTO THE TRAILER,MATATU,UNKNOWN,EVENING,A2
14:55,MURANGA,KAWERU AREA,2016-04-21,MURANGA KIRIANI,THE CAR LOST CONTROL AND LANDED INTO A DITCH,CAR,MECHANICAL FAULT,AFTERNOON,OTHER
17:00,KAKAMEGA,MAONDO AREA,2016-04-21,MUMIAS KAKAMEGA,HEAD ON COLLISION WITH MOTORCYCLE,MOTORCYCLE,HEAD ON,EVENING,OTHER
19:50,NAIROBI,NEAR LIKONI JUNCTION,2016-04-21,JOGOO,HIT AND RUN,CAR,HIT AND RUN,EVENING,OTHER
20:20,VIHIGA,MUSASA AREA,2016-04-21,KAPSABET CHAVAKALI,HEAD ON COLLISION,CAR,HEAD ON,EVENING,OTHER
20:20,VIHIGA,MUSASA AREA,2016-04-21,KAPSABET CHAVAKALI,HEAD ON COLLISION,CAR,HEAD ON,EVENING,OTHER
,NAKURU,NEAR TUSKYS SUPERMARKET,2016-04-21,NAKURU NAIROBI,THE BICYCLE LOST CONTROL AND LANDED INTO A DITCH,BICYCLE,DRIVER FAULT,NIGHT,A104
15:20,KIAMBU,NEAR NDARUGO MOTELS,2016-04-20,THIKA SUPERHIGHWAY,THE KXZ 560 RAMMED INTO THE REAR OF KCD 093X,CAR,UNKNOWN,AFTERNOON,A2
16:20,NAIROBI,NEAR KABETE ARMY BARRACKS,2016-04-20,WAIYAKI,THE PERSON FELL DOWN AND WAS OVER RAN BY THE CAR,CAR,VICTIM FAULT,AFTERNOON,OTHER
15:25,KILIFI,PHUMANI AREA,2016-04-20,MOMBASA MALINDI,THE CAR KNOCKED DOWN THE PERSON WHILE CROSSING THE ROAD,CAR,VICTIM FAULT,AFTERNOON,OTHER
18:30,MACHAKOS,NEAR BOX INN AREA,2016-04-20,NAMAGA MAKADARA,THE CAR KNOCKED DOWN THE PERSON WHILE CROSSING THE ROAD,CAR,VICTIM FAULT,EVENING,OTHER
19:00,NAIROBI,NEAR MOI AIR BASE,2016-04-20,ROAD JUJA,THE CAR KNOCKED DOWN THE PERSON WHILE CROSSING THE ROAD,CAR,VICTIM FAULT,EVENING,OTHER
21:00,NAIROBI,NEAR KAMINDI SUPERMARKET,2016-04-20,WITHIN DONHOLM SHOPPING CENTRE,HIT AND RUN,MATATU,HIT AND RUN,NIGHT,OTHER
21:39,EMBU,MANYATTA MARKET,2016-04-20,MANYATTA EMBU,THE CAR KNOCKED DOWN THE PERSON WHILE CROSSING THE ROAD,CAR,VICTIM FAULT,NIGHT,OTHER
01:30,MAKUENI,KENANI AREA,2016-04-20,NAIROBI MOMBASA,THE BUS HIT THE CAR AND AS RESULT THE SURF ROLLED SEVERAL TIMES,BUS,DRIVER FAULT,NIGHT,A109
01:30,MAKUENI,KENANI AREA,2016-04-20,NAIROBI MOMBASA,THE BUS HIT THE CAR AND AS RESULT THE SURF ROLLED SEVERAL TIMES,BUS,DRIVER FAULT,NIGHT,A109
07:00,NAKURU,KOSOVO AREA,2016-04-19,MAI MAHIU NAIVASHA,THE TRAILER RAMMED INTO BEIBEN TRAILER,TRAILER,UNKNOWN,MORNING,OTHER
09:30,KAKAMEGA,MUMIAS LUKOYE JUNCTION,2016-04-19,MUMIAS LUKOYE,THE CAR KNOCKED DOWN THE MOTOR BICYCLE,CAR,UNKNOWN,MORNING,OTHER
09:30,HOMA BAY,NTHIWA AREA,2016-04-19,SORI NDHIWA,"THE CAR LOST CONTROL,VEERED OFF THE ROAD AND ROLLED",CAR,DRIVER FAULT,MORNING,OTHER
15:30,MOMBASA,NEAR SHIVA CORNER,2016-04-19,SHIMANZI MOMBASA,HIT AND RUN,CAR,HIT AND RUN,AFTERNOON,OTHER
13:30,BARINGO,NGOSWET AREA,2016-04-19,RAVINE MUNGOTIO,THE CAR KNOCKED DOWN THE MOTOR BICYCLE,CAR,UNKNOWN,AFTERNOON,OTHER
10:00,KIAMBU,NGARARIGA AREA,2016-04-18,NAIVASHA NAIROBI,THE CAR KNOCKED DOWN THE PERSON,CAR,DRIVER FAULT,MORNING,A104
16:30,NAIROBI,NEAR SAKWA JUNCTION,2016-04-18,ROAD LANDHIES,THE CAR KNOCKED DOWN UNKNOWN H/CART PUSHER,CAR,UNKNOWN,AFTERNOON,OTHER
20:40,KIRINYAGA,MAKAWANI AREA,2016-04-18,MWEA MAKUTANO,THE CAR KNOCKED DOWN THE MOTORCYCLE,CAR,UNKNOWN,EVENING,OTHER
20:00,NAIROBI,NEAR SHELL PETROL STATION,2016-04-18,LOWER KABETE,THE CAR KNOCKED DOWN THE PERSON,CAR,DRIVER FAULT,EVENING,OTHER
21:30,BARINGO,LORUK,2016-04-17,MARIGAT LORUK,THE SAID CAR VEERED OFF THE ROAD LANDING ON RIGHT SIDE OF THE ROAD,CAR,UNKNOWN,NIGHT,OTHER
17:30,EMBU,KIRINYAGA,2016-04-17,MWEA EMBU,THE SAID CAR KNOCKED DOWN A PEDESTIAN,CAR,UNKNOWN,EVENING,OTHER
16:15,NAKURU,NAKURU TEACHERS COLLEGE,2016-04-17,NAKURU ELDORET,THE SAID CAR KNOCKED DOWN A PEDESTIAN,CAR,UNKNOWN,AFTERNOON,A104
19:30,MOMBASA,DUMPING SITE,2016-04-17,MAKUPA CUSE WAY,HIT AND RUN,CAR,HIT AND RUN,EVENING,OTHER
22:00,GARISSA,MADOGO,2016-04-17,MWINGI GARISSA,THE SAID MOTORCYCLE COLLIDED HEAD ON WITH A CAR,MOTORCYCLE,HEAD ON,NIGHT,A3
17:14,MACHAKOS,PETER MULI SUPERMARKET,2016-04-17,NAIROBI MACHAKOS,UNKNOWN CAR HIT UNKNOWN PERSON,CAR,UNKNOWN,EVENING,A109
08:00,NAIROBI,OLYMPIC PETROL STATION,2016-04-16,JUJA,HIT AND RUN,BUS,HIT AND RUN,MORNING,OTHER
07:00,KILIFI,SAMBURU AREA,2016-04-16,NAIROBI MOMBASA,THE TRUCK RAMMED INTO THE REAR OF THE TRAILER,TRUCK,UNKNOWN,MORNING,A109
14:30,HOMA BAY,NEAR ATIGO MARKET,2016-04-16,NDORI BONDO,THE CAR KNOCKED DOWN THE PERSON,CAR,UNKNOWN,AFTERNOON,OTHER
14:30,NAIROBI,GITHOGORO AREA,2016-04-16,NORTHERN BY PASS,THE CAR KNOCKED DOWN THE PERSON,CAR,UNKNOWN,AFTERNOON,A104N
19:30,NAKURU,CHEBEWORKWA NAHASHON AREA,2016-04-16,NAKURU KERICHO,HIT AND RUN,CAR,HIT AND RUN,EVENING,OTHER
21:00,NAIROBI,WAMBUI ROAD NEXT TO TUTHAIGA GOLF CLUB,2016-04-16,KIAMBU,HIT AND RUN,MATATU,HIT AND RUN,NIGHT,A2
20:45,NAROK,STIMA AREA,2016-04-16,NAROK MAIMAHIU,THE MATATU RAMMED INTO THE REAR OF THE TRACTOR,MATATU,UNKNOWN,EVENING,OTHER
21:45,NYERI,NGOLU AREA,2016-04-16,MUKURWENI KARATINA,HEAD ON COLLISION,CAR,HEAD ON,NIGHT,OTHER
01:29,NAIROBI,LIMURU FOREST INTERCHANGE,2016-04-16,LIMURU FOREST,HEAD ON COLLISION WITH AN ONCOMING CAR,CAR,HEAD ON,NIGHT,OTHER
12:01,KISUMU,KISUMU AIRPORT ROUNDABOUT,2016-04-16,KISUMU BUSIA,THE BICYCLE LOST CONTROL AND FELL DOWN,BICYCLE,MECHANICAL FAULT,AFTERNOON,A104
12:46,NAIROBI,OPPOSITE KOINANGE PETROL STN,2016-04-16,RACE COURSE,HIT AND RUN,TRAILER,HIT AND RUN,AFTERNOON,OTHER
16:05,NAKURU,NEAR LANDI AREA,2016-04-16,MOLO ELBAGON,THE BICYCLE RAMMED INTO THE CAR,BICYCLE,UNKNOWN,AFTERNOON,OTHER
07:00,MIGORI,LWALA,2016-04-15,MIGORI AWENDO,THE CAR RAMMED INTO THE MITSUBISHI,CAR,UNKNOWN,MORNING,A1
08:30,MAKUENI,KISYANI,2016-04-15,NUNGUNI KIKOKO,HEAD ON COLLISION,MATATU,HEAD ON,MORNING,OTHER
13:00,NAROK,KUTETE,2016-04-15,NAROK MULOT,THE CAR KNOCKED DOWN THE PERSON WHILE CROSSING THE ROAD,CAR,VICTIM FAULT,AFTERNOON,OTHER
12:00,TRANS NZOIA,CHEMOSIT,2016-04-15,KITALE ELDORET,THE MOTORCYCLE WAS HIT BY THE MATATU,MATATU,DRIVER FAULT,AFTERNOON,OTHER
14:20,MAKUENI,MTITO TOWNSHIP,2016-04-15,TOWNSHIP MTITO,HEAD ON COLLISION WITH ANOTHER TRAILER,TRAILER,HEAD ON,AFTERNOON,OTHER
15:00,KISUMU,KOGUOM,2016-04-15,ONYWONGO PAP ONDITI,THE CAR KNOCKED DOWN THE MOTORCYCLE,CAR,UNKNOWN,AFTERNOON,OTHER
19:00,KILIFI,MKOROSHONI,2016-04-15,MALINDI KILIFI,THE CAR KNOCKED DOWN THE MOTORCYCLE,CAR,UNKNOWN,EVENING,OTHER
20:30,MURANGA,KAHUTI JUNCTION,2016-04-15,MURANGA KANGEMA,"THE CAR LOST CONTROL,VEERED OFF THE ROAD AND KNOCKED DOWN THE PERSON",CAR,DRIVER FAULT,EVENING,OTHER
,NAKURU,STATE HOUSE,2016-04-15,NAKURU NAIROBI,"THE CAR LOST CONTROL,VEERED OFF THE ROAD AND LANDED INTO A DITCH",CAR,DRIVER FAULT,NIGHT,A104
01:20,KIAMBU,ROLEX,2016-04-15,EASTERN BY PASS,HIT AND RUN,CAR,HIT AND RUN,NIGHT,A104E
21:00,VIHIGA,MAGHARIBI FILLING STATION,2016-04-15,KISUMU BUSIA,THE CAR KNOCKED DOWN THE PERSON,CAR,DRIVER FAULT,NIGHT,A104
05:30,NAROK,MALTURS AREA,2016-04-14,NAROK MAIMAHIU,THE CAR LOST CONTROL AND VEERED OFF THE ROAD,CAR,DRIVER FAULT,MORNING,OTHER
07:00,NAIROBI,K.I.E,2016-04-14,MURANGA,THE PERSON ALIGHTED WHILE THE CAR WAS IN MOTION,CAR,UNKNOWN,MORNING,A2
19:30,KISUMU,USENGE TOWNSHIP,2016-04-14,USENGE BEACH,THE CAR KNOCKED DOWN THE PERSON WHILE CROSSING THE ROAD,CAR,VICTIM FAULT,EVENING,OTHER
20:00,MOMBASA,NEAR RAILWAY BRIDGE,2016-04-14,MAKUPA CAUSEWAY(KIPARANI),THE CAR KNOCKED DOWN THE PERSON WHILE CROSSING THE ROAD,CAR,VICTIM FAULT,EVENING,OTHER
22:15,MACHAKOS,SALAMA TRADING CENTRE,2016-04-14,NAIROBI MOMBASA,HIT AND RUN,CAR,HIT AND RUN,NIGHT,A109
23:15,HOMA BAY,NEAR AWASI,2016-04-14,KISUMU AHERO,THE CAR KNOCKED DOWN THE PERSON WHILE CROSSING THE ROAD,CAR,VICTIM FAULT,NIGHT,OTHER
06:10,NAKURU,KERONGA AREA,2016-04-13,NAKURU ELDORET,THE CAR KNOCKED DOWN THE PERSON WHILE CROSSING THE ROAD,CAR,VICTIM FAULT,MORNING,A104
09:45,KILIFI,MTWAPA BRIDGE,2016-04-13,MOMBASA KILIFI,HIT AND RUN,MATATU,HIT AND RUN,MORNING,A109
11:30,MACHAKOS,MTO MAWE AREA,2016-04-13,NAIROBI MACHAKOS,HEAD ON COLLISION,MATATU,HEAD ON,MORNING,A109
15:30,NAKURU,OPPOSITE KENOL PETROL STATION,2016-04-13,NAKURU ELDORET,THE CAR KNOCKED DOWN THE PERSON WHILE CROSSING THE ROAD,CAR,VICTIM FAULT,AFTERNOON,A104
17:50,KILIFI,SHAURI MOYO AREA,2016-04-13,MOMBASA KILIFI,THE HARRIER COLLIDED HEAD ON WITH THE ONCOMING MATATU,MATATU,HEAD ON,EVENING,A109
15:50,HOMA BAY,NYABURU AREA,2016-04-13,MAGUNGA KIGOTO,THE CAR KNOCKED DOWN THE PERSON WHILE CROSSING THE ROAD,CAR,VICTIM FAULT,AFTERNOON,OTHER
01:00,KIAMBU,KIHUNGURO BUMPS AREA,2016-04-13,THIKA SUPERHIGHWAY,HIT AND RUN,MATATU,HIT AND RUN,NIGHT,A2
08:00,NAIROBI,WAMWERE STAGE,2016-04-12,ROAD KOMAROCK,THE CAR HIT THE MOTORCYCLE,CAR,DRIVER FAULT,MORNING,OTHER
11:05,KIAMBU,KIMENDE AREA,2016-04-12,NAIVASHA NAIROBI,THE KBN 174V HIT THE OTHER CAR,CAR,DRIVER FAULT,MORNING,A104
06:45,MOMBASA,MANYATTA AREA,2016-04-12,UKUNDA LIKONI,THE BICYCLE LOST CONTROL AND FELL DOWN,BICYCLE,DRIVER FAULT,MORNING,OTHER
13:50,NAIROBI,MBUTHIA AREA,2016-04-12,ROAD MAX,THE CAR KNOCKED DOWN THE PERSON WHILE CROSSING THE ROAD,CAR,VICTIM FAULT,AFTERNOON,OTHER
21:40,MURANG'A,NEAR MURANGA TEACHERS COLLEGE,2016-04-12,SAGANA KENOL,THE TRAILER FELL DOWN AND LANDED ON THE CAR,TRAILER,UNKNOWN,NIGHT,OTHER
16:30,NAKURU,KCC,2016-04-11,NAKURU NAIROBI,THE BICYCLE HIT THE GUARD RAIL OF THE TRAILER AND FELL DOWN,BICYCLE,UNKNOWN,AFTERNOON,A104
20:00,NAIROBI,VISION PLAZA,2016-04-11,NAIROBI MOMBASA,HIT AND RUN,MATATU,HIT AND RUN,EVENING,A109
23:00,MAKUENI,MLIMA MAZIWA,2016-04-11,NAIROBI MOMBASA,THE CAR ROLLED SEVERAL TIMES,CAR,DRIVER FAULT,NIGHT,A109
10:15,NAROK,NEAR SUSWA,2016-04-10,NAROK MAIMAHIU,THE CAR LOST CONTROL AND OVERTURNED,CAR,MECHANICAL FAULT,MORNING,OTHER
11:40,MAKUENI,KAMBU AREA,2016-04-10,NAIROBI MOMBASA,THE CAR RAMMED INTO THE TRAILER,CAR,UNKNOWN,MORNING,A109
11:05,BUNGOMA,KABULA AREA,2016-04-10,MUMIAS BUNGOMA,THE CAR HIT THE MOTORCYCLE,CAR,DRIVER FAULT,MORNING,OTHER
11:05,BUNGOMA,KABULA AREA,2016-04-10,MUMIAS BUNGOMA,THE CAR HIT THE MOTORCYCLE,CAR,DRIVER FAULT,MORNING,OTHER
01:00,NAIROBI,AIRPORT FLY OVER,2016-04-10,NAIROBI MOMBASA,THE CAR LOST CONTROL AND KNOCKED DOWN THE PERSON,CAR,MECHANICAL FAULT,NIGHT,A109
14:00,NYAHURURU,MAIRO INYA AREA,2016-04-10,NYERI NYAHURURU,HEAD ON COLLISION,CAR,HEAD ON,AFTERNOON,A2
19:45,GARISSA,FRONTIER JUNCTION,2016-04-10,MWINGI GARISSA,THE BICYCLE LOST CONTROL AND THE PERSON FELL DOWN,BICYCLE,DRIVER FAULT,EVENING,A3
19:55,NAROK,NAROK TOEN,2016-04-10,NAROK MULOT,HIT AND RUN,CAR,HIT AND RUN,EVENING,OTHER
20:30,HOMA BAY,MIGAI AREA,2016-04-10,OYUGIS KISUMU,HIT AND RUN,CAR,HIT AND RUN,EVENING,OTHER
20:00,BARINGO,MUSALABA YELLOW AREA,2016-04-10,KITALE ELDORET,THE CAR KNOCKED DOWN THE PERSON,CAR,UNKNOWN,EVENING,OTHER
10:00,KIAMBU,KWAMATHERA AREA,2016-04-10,ONDIRE KIKUYU,HIT AND RUN,MATATU,HIT AND RUN,MORNING,OTHER
21:00,BUNGOMA,MWABANGA AREA,2016-04-10,WEBUYE BUNGOMA,THE CAR KNOCKED DOWN THE PERSON,CAR,VICTIM FAULT,NIGHT,OTHER
