TIME 24 HOURS,COUNTY,PLACE,Date DD/MM/YYYY,NORMALIZED_ROAD,TEXT_CLEAN,FINAL_VEHICLE,ACCIDENT_TYPE_PRED,TIMEOFDAY,ROAD CODE
15:25,TRANS NZOIA,SOI BRIDGE,2016-06-20,KITALE ELDORET,THE BICYCLE LOST CONTROL AND HIT THE CAR,BICYCLE,UNKNOWN,AFTERNOON,OTHER
15:25,SIAYA,MITURI AREA,2016-06-20,LUANDA KOTIENO NDORI,THE CAR KNOCKED DOWN THE PERSON,CAR,DRIVER FAULT,AFTERNOON,OTHER
19:30,NAIROBI,NGONG ROAD JUNCTION,2016-06-20,SOUTHERN BY PASS,THE CAR KNOCKED DOWN THE PERSON,CAR,DRIVER FAULT,EVENING,A104S
21:00,KAJIADO,KIMALAT AREA,2016-06-20,KITENGELA ISINYA,THE CAR KNOCKED DOWN THE PERSON,CAR,UNKNOWN,NIGHT,A104
21:30,KIAMBU,KIAMBAA AREA,2016-06-20,NAIVASHA NAIROBI,THE CAR KNOCKED DOWN THE PERSON,CAR,VICTIM FAULT,NIGHT,A104
12:30,NAIROBI,IMARA DAIMA,2016-06-19,NAIROBI MOMBASA,THE CAR KNOCKED DOWN THE PERSON WHO WAS CROSSING THE ROAD,CAR,VICTIM FAULT,AFTERNOON,A109
11:00,KILIFI,CHUMANI,2016-06-19,MALINDI KILIFI,HEAD ON COLLISION,TRAILER,HEAD ON,MORNING,OTHER
21:00,NAKURU,MOLO RIVER,2016-06-19,NAKURU ELDORET,HIT & RAN,CAR,HIT AND RUN,NIGHT,A104
21:00,NAIROBI,MAZIWA,2016-06-19,JOGOO,THE BUS HIT THE MOTORCYCLE FROM BEHIND,BUS,DRIVER FAULT,NIGHT,OTHER
,KWALE,PIPELINE,2016-06-18,MOMBASA VOI,HIT AND RUN,MATATU,HIT AND RUN,NIGHT,A109
11:20,KILIFI,GOROFANI AREA,2016-06-18,MOMBASA KILIFI,THE CAR HIT THE MOTORCYCLE,CAR,DRIVER FAULT,MORNING,A109
15:00,KIAMBU,GICHIEGO,2016-06-18,KIJABE GICHIEGO,THE CAR LOST CONTROL AND RAMMD INTO A TREE,CAR,UNKNOWN,AFTERNOON,OTHER
15:00,KIAMBU,GICHIEGO,2016-06-18,KIJABE GICHIEGO,THE CAR LOST CONTROL AND RAMMD INTO A TREE,CAR,UNKNOWN,AFTERNOON,OTHER
18:30,NAIROBI,MUTHAMA JUNCTION,2016-06-18,PARKLANDS MUTHAMA,THE BICYCLE WAS HIT BY THE CAR,CAR,DRIVER FAULT,EVENING,OTHER
20:30,KISII,GUCHA,2016-06-18,KISII KILGORIS,THE CAR KNOCKED DOWN THE PERSON,CAR,UNKNOWN,EVENING,OTHER
18:30,HOMA BAY,GUCHA BRIDGE,2016-06-18,MIGORI KISII,HEAD ON COLLISION,CAR,HEAD ON,EVENING,A1
